Engere Wahl des Bürgermeisters Landeshauptstadt Innsbruck 2024, 28.04.2024 (Bericht wurde generiert am 28.04.2024 um 17:34)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Sprengel_Nr;Wahlberechtigte;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Kandidat1;Name/Kandidat1;Stimmen/Kandidat1;Prozente/Kandidat1;BGM/Kandidat1;Nr./Kandidat2;Name/Kandidat2;Stimmen/Kandidat2;Prozente/Kandidat2;BGM/Kandidat2;
701;Innsbruck-Stadt;70101;Innsbruck;;100564;51749;51,46;51435;314;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);20787;40,41;nein;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);30648;59,59;ja;
701;Innsbruck-Stadt;70101;Innsbruck;-1;;9571;;9521;50;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);4478;47,03;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);5043;52,97;;
701;Innsbruck-Stadt;70101;Innsbruck;1;;276;;273;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);165;60,44;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);108;39,56;;
701;Innsbruck-Stadt;70101;Innsbruck;10;;248;;247;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);138;55,87;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);109;44,13;;
701;Innsbruck-Stadt;70101;Innsbruck;11;;256;;256;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);171;66,80;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);85;33,20;;
701;Innsbruck-Stadt;70101;Innsbruck;12;;249;;249;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);123;49,40;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);126;50,60;;
701;Innsbruck-Stadt;70101;Innsbruck;13;;270;;269;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);143;53,16;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);126;46,84;;
701;Innsbruck-Stadt;70101;Innsbruck;20;;157;;156;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);84;53,85;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);72;46,15;;
701;Innsbruck-Stadt;70101;Innsbruck;21;;146;;145;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);85;58,62;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);60;41,38;;
701;Innsbruck-Stadt;70101;Innsbruck;30;;158;;156;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);92;58,97;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);64;41,03;;
701;Innsbruck-Stadt;70101;Innsbruck;31;;238;;236;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);143;60,59;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);93;39,41;;
701;Innsbruck-Stadt;70101;Innsbruck;32;;241;;241;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);140;58,09;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);101;41,91;;
701;Innsbruck-Stadt;70101;Innsbruck;40;;147;;147;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);78;53,06;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);69;46,94;;
701;Innsbruck-Stadt;70101;Innsbruck;41;;149;;147;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);86;58,50;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);61;41,50;;
701;Innsbruck-Stadt;70101;Innsbruck;50;;236;;235;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);90;38,30;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);145;61,70;;
701;Innsbruck-Stadt;70101;Innsbruck;51;;283;;282;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);146;51,77;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);136;48,23;;
701;Innsbruck-Stadt;70101;Innsbruck;52;;283;;281;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);163;58,01;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);118;41,99;;
701;Innsbruck-Stadt;70101;Innsbruck;60;;280;;279;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);146;52,33;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);133;47,67;;
701;Innsbruck-Stadt;70101;Innsbruck;70;;364;;363;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);205;56,47;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);158;43,53;;
701;Innsbruck-Stadt;70101;Innsbruck;71;;264;;263;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);122;46,39;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);141;53,61;;
701;Innsbruck-Stadt;70101;Innsbruck;72;;427;;424;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);158;37,26;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);266;62,74;;
701;Innsbruck-Stadt;70101;Innsbruck;73;;313;;313;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);171;54,63;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);142;45,37;;
701;Innsbruck-Stadt;70101;Innsbruck;74;;244;;242;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);99;40,91;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);143;59,09;;
701;Innsbruck-Stadt;70101;Innsbruck;75;;249;;245;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);110;44,90;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);135;55,10;;
701;Innsbruck-Stadt;70101;Innsbruck;80;;265;;265;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);49;18,49;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);216;81,51;;
701;Innsbruck-Stadt;70101;Innsbruck;81;;107;;106;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);29;27,36;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);77;72,64;;
701;Innsbruck-Stadt;70101;Innsbruck;100;;263;;261;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);146;55,94;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);115;44,06;;
701;Innsbruck-Stadt;70101;Innsbruck;101;;263;;261;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);155;59,39;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);106;40,61;;
701;Innsbruck-Stadt;70101;Innsbruck;102;;245;;245;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);128;52,24;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);117;47,76;;
701;Innsbruck-Stadt;70101;Innsbruck;103;;202;;201;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);128;63,68;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);73;36,32;;
701;Innsbruck-Stadt;70101;Innsbruck;104;;199;;199;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);90;45,23;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);109;54,77;;
701;Innsbruck-Stadt;70101;Innsbruck;110;;319;;318;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);194;61,01;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);124;38,99;;
701;Innsbruck-Stadt;70101;Innsbruck;111;;268;;266;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);153;57,52;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);113;42,48;;
701;Innsbruck-Stadt;70101;Innsbruck;112;;296;;295;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);166;56,27;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);129;43,73;;
701;Innsbruck-Stadt;70101;Innsbruck;113;;273;;272;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);177;65,07;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);95;34,93;;
701;Innsbruck-Stadt;70101;Innsbruck;114;;317;;313;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);203;64,86;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);110;35,14;;
701;Innsbruck-Stadt;70101;Innsbruck;115;;224;;221;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);101;45,70;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);120;54,30;;
701;Innsbruck-Stadt;70101;Innsbruck;120;;225;;223;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);84;37,67;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);139;62,33;;
701;Innsbruck-Stadt;70101;Innsbruck;130;;194;;190;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);119;62,63;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);71;37,37;;
701;Innsbruck-Stadt;70101;Innsbruck;131;;277;;276;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);104;37,68;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);172;62,32;;
701;Innsbruck-Stadt;70101;Innsbruck;132;;145;;144;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);68;47,22;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);76;52,78;;
701;Innsbruck-Stadt;70101;Innsbruck;133;;237;;234;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);40;17,09;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);194;82,91;;
701;Innsbruck-Stadt;70101;Innsbruck;140;;410;;405;5;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);95;23,46;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);310;76,54;;
701;Innsbruck-Stadt;70101;Innsbruck;150;;267;;263;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);105;39,92;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);158;60,08;;
701;Innsbruck-Stadt;70101;Innsbruck;151;;253;;251;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);64;25,50;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);187;74,50;;
701;Innsbruck-Stadt;70101;Innsbruck;200;;304;;302;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);129;42,72;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);173;57,28;;
701;Innsbruck-Stadt;70101;Innsbruck;201;;228;;227;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);83;36,56;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);144;63,44;;
701;Innsbruck-Stadt;70101;Innsbruck;202;;237;;237;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);74;31,22;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);163;68,78;;
701;Innsbruck-Stadt;70101;Innsbruck;203;;223;;222;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);40;18,02;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);182;81,98;;
701;Innsbruck-Stadt;70101;Innsbruck;210;;334;;330;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);132;40,00;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);198;60,00;;
701;Innsbruck-Stadt;70101;Innsbruck;211;;273;;273;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);142;52,01;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);131;47,99;;
701;Innsbruck-Stadt;70101;Innsbruck;212;;231;;230;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);86;37,39;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);144;62,61;;
701;Innsbruck-Stadt;70101;Innsbruck;213;;130;;130;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);16;12,31;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);114;87,69;;
701;Innsbruck-Stadt;70101;Innsbruck;214;;278;;278;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);136;48,92;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);142;51,08;;
701;Innsbruck-Stadt;70101;Innsbruck;215;;256;;252;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);96;38,10;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);156;61,90;;
701;Innsbruck-Stadt;70101;Innsbruck;220;;175;;174;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);55;31,61;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);119;68,39;;
701;Innsbruck-Stadt;70101;Innsbruck;221;;197;;197;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);48;24,37;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);149;75,63;;
701;Innsbruck-Stadt;70101;Innsbruck;222;;390;;388;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);117;30,15;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);271;69,85;;
701;Innsbruck-Stadt;70101;Innsbruck;223;;365;;364;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);86;23,63;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);278;76,37;;
701;Innsbruck-Stadt;70101;Innsbruck;230;;255;;252;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);97;38,49;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);155;61,51;;
701;Innsbruck-Stadt;70101;Innsbruck;231;;257;;256;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);69;26,95;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);187;73,05;;
701;Innsbruck-Stadt;70101;Innsbruck;232;;233;;233;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);61;26,18;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);172;73,82;;
701;Innsbruck-Stadt;70101;Innsbruck;240;;205;;205;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);75;36,59;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);130;63,41;;
701;Innsbruck-Stadt;70101;Innsbruck;241;;236;;232;4;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);82;35,34;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);150;64,66;;
701;Innsbruck-Stadt;70101;Innsbruck;242;;283;;281;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);69;24,56;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);212;75,44;;
701;Innsbruck-Stadt;70101;Innsbruck;243;;162;;161;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);55;34,16;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);106;65,84;;
701;Innsbruck-Stadt;70101;Innsbruck;244;;257;;255;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);62;24,31;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);193;75,69;;
701;Innsbruck-Stadt;70101;Innsbruck;245;;225;;222;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);66;29,73;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);156;70,27;;
701;Innsbruck-Stadt;70101;Innsbruck;246;;192;;190;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);34;17,89;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);156;82,11;;
701;Innsbruck-Stadt;70101;Innsbruck;250;;297;;296;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);96;32,43;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);200;67,57;;
701;Innsbruck-Stadt;70101;Innsbruck;251;;344;;341;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);70;20,53;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);271;79,47;;
701;Innsbruck-Stadt;70101;Innsbruck;252;;249;;247;2;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);59;23,89;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);188;76,11;;
701;Innsbruck-Stadt;70101;Innsbruck;253;;221;;221;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);43;19,46;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);178;80,54;;
701;Innsbruck-Stadt;70101;Innsbruck;254;;315;;312;3;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);86;27,56;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);226;72,44;;
701;Innsbruck-Stadt;70101;Innsbruck;255;;294;;293;1;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);44;15,02;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);249;84,98;;
701;Innsbruck-Stadt;70101;Innsbruck;256;;275;;275;0;1;Willi Georg (Georg Willi - Die Innsbrucker Grünen);41;14,91;;2;Ing. Mag. Anzengruber Johannes (JA - Jetzt Innsbruck - Johannes Anzengruber);234;85,09;;
